OSEBuildingID,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,YearBuilt,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),NumberofBuildings,TotalGHGEmissions,ENERGYSTARScore,Electricity,NaturalGas,SteamUse,OtherFuelUse,SiteEnergyUse(kBtu)
49721,0.0,0.0,2012.0,3.0,5321.0,16432.0,1.5,12.875,37.0,0.8126422218688636,0.18737434260912514,0.0,0.0,824429.84375
49722,9023.0,0.0,2012.0,5.0,0.0,59205.0,1.0,35.425,94.0,0.6903643724514142,0.30964984222645214,0.0,0.0,1666411.3125
49729,0.0,0.0,2012.0,7.0,14112.0,105107.0,0.5,85.225,99.0,0.5419645674541367,0.45804668594584314,0.0,0.0,3032416.875
49730,75681.0,2532.0,2012.0,7.0,37840.5,296944.5,1.0,283.15999999999997,95.0,0.5202352190049357,0.47977583142816155,0.0,0.0,9728125.5
49731,0.0,0.0,2012.0,7.0,7168.5,67252.5,1.0,99.635,36.5,0.5677121677572703,0.4322993476504634,0.0,0.0,3701562.375
49733,71418.0,0.0,2013.0,16.0,73392.0,120836.0,1.0,117.95500000000001,61.0,0.8337341019773312,0.16628324785205853,0.0,0.0,8054834.25
49734,20492.0,0.0,2012.0,4.0,0.0,31962.0,1.0,6.93,92.0,1.0000206828132172,0.0,0.0,0.0,994182.9375
49735,0.0,0.0,2012.0,4.0,2152.5,52618.5,1.0,40.405,87.0,0.6741407902013147,0.32587343814153064,0.0,0.0,1836123.875
49736,0.0,0.0,2013.0,4.0,0.0,27950.0,1.0,69.75999999999999,45.5,0.4553586738065532,0.544650471831521,0.0,0.0,2173167.125
49737,17558.0,1686.0,1918.0,3.0,6519.0,37313.0,1.0,136.39999999999998,67.0,0.36957225737309074,0.6304356733819013,0.0,0.0,3782742.0
49738,0.0,0.0,1987.0,6.0,0.0,146363.0,1.0,327.805,0.0,0.5472030620076959,0.45280824287303767,0.0,0.0,11764830.0
49739,0.0,0.0,2013.0,6.0,0.0,41502.0,1.0,76.825,82.0,0.4051419089570241,0.5948664349887068,0.0,0.0,2232157.375
49767,12346.0,0.0,2013.0,7.0,3202.0,85772.0,1.0,53.455,94.5,0.6984050288728982,0.3016092828977418,0.0,0.0,2559082.375
49769,0.0,0.0,1920.0,5.0,0.0,43998.0,1.0,51.55,100.0,0.04232818935146132,0.9576737954646951,0.0,0.0,1007650.0
49771,37070.0,0.0,2012.0,7.0,18535.0,101465.0,1.0,112.87,100.0,0.6464092181944759,0.3536039853139851,0.0,0.0,4847196.5
49772,19614.0,0.0,2013.0,4.0,5305.0,103567.0,1.0,16.465,87.5,0.995241118756312,0.0,0.0,0.004779104908999826,2373457.0
49776,149326.0,38225.0,1988.0,13.0,149326.0,206846.5,1.0,145.47,84.5,0.9290370895829814,0.07098344277998474,0.0,0.0,14197099.5
49777,5809.0,0.0,2013.0,6.0,0.0,21762.0,1.0,23.345,97.5,0.6660348840372852,0.33397817988833817,0.0,0.0,1042948.375
49778,0.0,0.0,2008.0,2.0,0.0,70292.0,1.0,50.97,36.0,0.5577338361771969,0.4422783498672443,0.0,0.0,1861760.8125
49779,0.0,0.0,2013.0,6.0,0.0,38407.0,0.5,9.73,54.0,1.0000201480983733,0.0,0.0,0.0,1395913.375
49781,5794.0,1467.0,2013.0,7.0,0.0,51287.0,1.0,72.44,0.0,0.5793497210159291,0.42066243257431657,0.0,0.0,2746102.125
49784,0.0,0.0,2013.0,6.0,0.0,46964.5,1.0,1.56,100.0,0.4939057491636047,0.0,0.0,0.5061206605419569,452602.54689999996
49785,19700.0,0.0,2013.0,6.0,0.0,84577.0,1.0,46.28,90.0,0.6134914079966907,0.38652152324081734,0.0,0.0,1865637.375
49786,25100.0,4850.0,2013.0,8.0,0.0,53708.0,1.0,158.67000000000002,53.0,0.533907352866814,0.46610121695509205,0.0,0.0,5571877.75
49787,19538.0,0.0,2013.0,4.0,0.0,56184.0,1.0,22.875,90.5,0.7135523508639795,0.28646231987122406,0.0,0.0,1133208.375
49788,0.0,0.0,2013.0,6.0,0.0,31981.0,1.0,6.04,100.0,1.0000205616267666,0.0,0.0,0.0,866298.1875
49789,50236.0,4532.0,2013.0,24.0,0.0,295754.0,1.0,261.505,56.0,0.5928355124960336,0.40717655342447323,0.0,0.0,10152561.5
49790,6936.0,0.0,2013.0,6.0,0.0,24457.0,1.0,25.04,99.5,0.6445457634586876,0.35546823947632755,0.0,0.0,1071204.0
49791,25920.0,0.0,2013.0,6.0,12960.0,38464.0,1.0,10.05,98.5,0.9794456197730501,0.020575411530148472,0.0,0.0,1268941.8125
49792,61291.0,0.0,2013.0,5.0,30645.5,167556.5,3.0,171.07,100.0,0.5606806272988766,0.43933095752815304,0.0,0.0,6279765.75
49793,28217.0,0.0,2013.0,3.0,28217.0,66080.0,1.0,9.55,100.0,1.000020936910793,0.0,0.0,0.0,1370187.8125
49796,0.0,0.0,2013.0,6.0,0.0,227672.0,1.0,48.625,73.0,0.946389381578741,0.053629703863383976,0.0,0.0,5147902.75
49797,0.0,0.0,2013.0,3.0,7494.5,56125.5,1.0,19.75,69.5,0.9765469189087548,0.023472863771366058,0.0,0.0,2451639.5
49798,686.0,0.0,2013.0,4.0,0.0,28200.0,1.0,5.4,28.0,1.0000203444016567,0.0,0.0,0.0,774168.75
49800,0.0,0.0,2013.0,4.0,0.0,83999.0,1.0,57.375,96.0,0.6106256539979854,0.3893867332535768,0.0,0.0,2300752.5
49802,26067.0,0.0,2013.0,4.0,11474.0,50907.0,1.0,24.825,59.5,1.00002112977762,0.0,0.0,0.0,3561324.75
49821,0.0,0.0,2013.0,4.0,0.0,49970.0,1.0,8.46,64.0,1.0000203034447732,0.0,0.0,0.0,1212848.375
49822,14406.0,0.0,2013.0,13.0,0.0,161722.0,1.0,77.25,67.0,0.7972656128642431,0.20275140031114033,0.0,0.0,4731627.0
49825,135794.0,0.0,2013.0,7.0,0.0,305925.0,1.5,126.395,100.0,0.7800710959057228,0.21994519138943192,0.0,0.0,7383055.25
49826,13252.0,4086.0,2013.0,4.0,0.0,61558.0,1.0,24.5,8.0,0.8644170975566156,0.1356065886533337,0.0,0.0,1852343.625
49827,6666.0,0.0,2013.0,4.0,0.0,29158.0,1.0,20.75,100.0,0.5983881132707644,0.4016248708217248,0.0,0.0,813495.4375
49828,23645.0,0.0,2013.0,4.0,0.0,87958.0,1.0,67.36500000000001,94.5,0.5951585705260349,0.40485404308992085,0.0,0.0,2626130.375
49829,7000.0,0.0,2013.0,6.0,3500.0,76305.0,1.0,180.365,26.5,0.6264128326070693,0.3736000525068392,0.0,0.0,7450458.0
49830,0.0,0.0,2013.0,4.0,0.0,23397.0,1.0,17.78,0.0,0.6750036284452035,0.32501046447843845,0.0,0.0,809360.09375
49850,0.0,0.0,2014.0,2.0,0.0,48925.0,1.0,36.795,77.0,0.7291434815611186,0.262910403257881,0.0,0.00796135131930886,1932084.0625
49857,53760.0,0.0,2013.0,7.0,0.0,229742.0,1.0,142.26999999999998,93.5,0.6322943977430328,0.3677186415999459,0.0,0.0,5943551.0
49858,0.0,0.0,2014.0,2.0,0.0,35780.0,1.0,48.94,44.5,0.7250392604513942,0.2749721877938006,0.0,0.0,2489464.5
49862,0.0,0.0,1962.0,1.0,0.0,29000.0,0.5,51.965,0.0,0.6804684086596636,0.3195460089292934,0.0,0.0,2392910.5
49866,48300.0,0.0,2014.0,4.0,0.0,122941.0,1.0,13.94,94.5,1.0000205034907192,0.0,0.0,0.0,1999659.5
49867,133432.0,0.0,2014.0,7.0,73343.5,255896.0,1.0,38.82,100.0,0.9332218627101113,0.06679328721196373,0.0,0.0,3861406.0
49868,31540.0,0.0,2014.0,7.0,0.0,145716.0,1.0,80.3,97.5,0.6364401871484553,0.36357312018727267,0.0,0.0,3381593.5
49869,0.0,0.0,2014.0,4.0,0.0,34723.0,1.0,30.104999999999997,59.5,0.7606566373421157,0.23935877274652514,0.0,0.0,1670983.25
49870,13049.0,0.0,2014.0,6.0,6524.5,48588.5,1.0,8.12,99.5,1.0000201686268855,0.0,0.0,0.0,1165176.0
49871,0.0,0.0,2014.0,7.0,31990.5,177592.5,1.0,126.45,95.5,0.6654839745843024,0.3345297137763782,0.0,0.0,5643480.75
49872,0.0,0.0,2014.0,2.0,0.0,56988.0,1.0,18.655,0.0,0.4741338921792994,0.5258758400453417,0.0,0.0,597242.6875
49873,72704.0,0.0,2014.0,25.0,21328.0,215858.0,1.0,279.425,40.0,0.6313841851944962,0.36862830106579025,0.0,0.0,11652808.5
49874,29516.0,0.0,2014.0,3.0,0.0,93179.0,1.0,49.07,94.0,0.6307898644792751,0.36922309979778173,0.0,0.0,2044078.5
49889,51663.0,29096.0,2014.0,6.0,0.0,292376.0,2.5,253.91,100.0,0.5858774483222484,0.4141343120570953,0.0,0.0,9736080.5
49892,32578.0,0.0,2014.0,7.0,0.0,137068.0,1.0,78.025,98.5,0.593916806898994,0.4060953018594028,0.0,0.0,3034993.25
49893,11390.0,5170.0,2014.0,7.0,1700.0,98402.0,1.0,85.89,67.0,0.5645382115178891,0.43547328967082966,0.0,0.0,3173585.0
49894,135759.0,9680.0,2014.0,6.0,0.0,447915.0,2.0,198.885,100.0,0.6386804386665774,0.3613325190945687,0.0,0.0,8411947.0
49895,13442.0,0.0,2014.0,6.0,0.0,84891.0,1.0,62.209999999999994,100.0,0.5642786806940577,0.43573285284187413,0.0,0.0,2297647.5
49896,0.0,0.0,2014.0,7.0,0.0,47343.0,1.0,44.974999999999994,98.5,0.44989856761084845,0.5501105133369902,0.0,0.0,1390273.375
49897,0.0,0.0,2014.0,5.0,0.0,78756.0,1.0,20.32,73.5,0.8830838047096915,0.11693277796093092,0.0,0.0,1643281.75
49901,181729.0,16415.0,2014.0,8.0,0.0,439262.0,1.0,182.825,99.0,0.7320395563631218,0.26797577851194815,0.0,0.0,9455571.0
49902,32227.0,0.0,2014.0,6.0,31916.0,91159.0,1.0,65.035,95.0,0.641749725396011,0.3582635542442137,0.0,0.0,2767394.25
49909,0.0,0.0,2007.0,2.0,0.0,149856.0,5.0,103.62,0.0,0.790652280724492,0.2093640502182508,0.0,0.0,6230503.75
49911,15761.0,0.0,2010.0,2.0,0.0,44162.0,1.0,35.045,0.0,0.6099683001474459,0.390043142878197,0.0,0.0,1403693.4375
49918,12689.0,2110.0,2013.0,1.0,0.0,51044.5,1.0,504.46999999999997,0.0,0.31583216528502367,0.6841745190986975,0.0,0.0,13090212.0
49919,6824.0,1144.0,2014.0,6.0,0.0,45167.0,1.0,20.86,95.0,0.7193332508724064,0.2806810763156776,0.0,0.0,1046960.5
